"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Ex_L2_3","Astrocytes","NRG1","ERBB4",0.0573295868564815,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L5_6","Astrocytes","NRG1","ERBB4",0.203374875517101,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5","Astrocytes","NRG1","ERBB4",0.0569581671695694,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5_PAX6","Astrocytes","NRG1","ERBB4",0.23559194719939,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Cajal_Retzius","Astrocytes","NRG1","ERBB4",0.0949392913750623,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L2_3","Astrocytes_Reactive","NRG1","ERBB4",0.0455963248275266,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L5_6","Astrocytes_Reactive","NRG1","ERBB4",0.167048255018933,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5","Astrocytes_Reactive","NRG1","ERBB4",0.0452972683914926,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5_PAX6","Astrocytes_Reactive","NRG1","ERBB4",0.194918779986294,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Cajal_Retzius","Astrocytes_Reactive","NRG1","ERBB4",0.0761303416976645,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L2_3","OPCs","NRG1","ERBB4",0.0513596593106445,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L5_6","OPCs","NRG1","ERBB4",0.185184346769748,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5","OPCs","NRG1","ERBB4",0.0510248233178569,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5_PAX6","OPCs","NRG1","ERBB4",0.215298607547689,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Cajal_Retzius","OPCs","NRG1","ERBB4",0.0854077716308739,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L2_3","COPs","NRG1","ERBB4",0.0356726108294412,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L5_6","COPs","NRG1","ERBB4",0.134414127868859,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5","COPs","NRG1","ERBB4",0.0354362252426296,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5_PAX6","COPs","NRG1","ERBB4",0.157871890754603,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Cajal_Retzius","COPs","NRG1","ERBB4",0.0599787491842771,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L2_3","Oligodendrocytes","NRG1","ERBB4",0.0362613624939563,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
