"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"IL1RAPL1",16.5332671477757,-3.01920531416527,0.251399629844112,-12.0095853603183,3.16427587582155e-33,1.37962428185819e-29,"IL1RAPL1","Microglia"
"NEAT1",142.599587925313,1.56403921799915,0.149633763119458,10.4524486011257,1.42790220044732e-25,3.11282679697516e-22,"NEAT1","Microglia"
"PPP2R2B",13.7769366060572,-2.33578790456827,0.25171683430172,-9.27942666626929,1.70392952890336e-20,2.47637758200621e-17,"PPP2R2B","Microglia"
"NTM",10.3234255515956,-3.55865080385104,0.395379594958444,-9.00059297249537,2.24501803968452e-19,2.44706966325613e-16,"NTM","Microglia"
"DPP10",16.8669718081833,-4.46256625746365,0.56360911342161,-7.9178390682363,2.41673881294215e-15,2.10739624488556e-12,"DPP10","Microglia"
"SPARCL1",6.34936526470311,-3.86507155540452,0.493143697288885,-7.83761726379795,4.59176075290852e-15,3.33667948044686e-12,"SPARCL1","Microglia"
"PIM1",4.06667842957863,4.10287435513814,0.525591964331773,7.80619688574282,5.89394824168386e-15,3.67108776196309e-12,"PIM1","Microglia"
"LSAMP",31.2984182998364,-3.80303753588829,0.488370075811171,-7.78720426220123,6.85081507789288e-15,3.73369421745162e-12,"LSAMP","Microglia"
"NFIA",15.8329152614475,-1.17669180452875,0.152282246933708,-7.72704519549797,1.1007157582108e-14,5.33235633977677e-12,"NFIA","Microglia"
"CLU",8.79247213388033,-2.52353257774193,0.329077830048645,-7.66849768448059,1.74022502944995e-14,7.58738112840177e-12,"CLU","Microglia"
"FCGR3A",7.38381765417829,1.75174872881909,0.230891736659484,7.58688359385744,3.27691227832622e-14,1.29884886668203e-11,"FCGR3A","Microglia"
"CPM",12.4344143864529,2.41508696244565,0.322106920050454,7.49778043286793,6.49075047169449e-14,2.35830600471566e-11,"CPM","Microglia"
"FLOT1",7.14724374747336,1.58552556994213,0.212524450216901,7.46043840284708,8.62350633887153e-14,2.89219135672922e-11,"FLOT1","Microglia"
"SAT1",56.8328900425733,-0.986289345950804,0.133111127894283,-7.40951835923225,1.26758927967154e-13,3.94763518526279e-11,"SAT1","Microglia"
"CALM2",14.4993615333553,-1.64065227077131,0.223912534649669,-7.32720154920428,2.35008261985178e-13,6.83090681503585e-11,"CALM2","Microglia"
"MS4A6A",22.7501390712032,0.868733646235186,0.120099461457058,7.23345163829736,4.70870179949606e-13,1.28312124036268e-10,"MS4A6A","Microglia"
"TTLL7",6.83589658393771,-2.64862289773258,0.370456632269126,-7.14961662721274,8.70205877425679e-13,2.23182213269174e-10,"TTLL7","Microglia"
