"celltype_broad","AD","Control","total","pct_AD"
"Oligodendrocytes",9847,11893,21740,45.3
"Astrocytes",2983,8901,11884,25.1
"OPCs",4479,5819,10298,43.5
"Inhibitory_Neurons",2492,3246,5738,43.4
"Excitatory_Neurons",1512,4023,5535,27.3
"Microglia",1457,1829,3286,44.3
"Vascular",544,438,982,55.4
"Cajal_Retzius",128,568,696,18.4
