"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"GRIK2",54.8495218804061,-0.869926965164138,0.144140082048234,-6.03528840002348,1.58679033548819e-09,1.8946276605729e-06,"GRIK2","Cajal_Retzius"
"SGCZ",17.0445874465741,-1.76694732354458,0.298669983278413,-5.91605257464883,3.29759843077193e-09,1.96866626317085e-06,"SGCZ","Cajal_Retzius"
"HSPA1A",15.8972897437189,4.7660306274883,0.86254564240236,5.52554020702483,3.28473339564663e-08,1.30732389146736e-05,"HSPA1A","Cajal_Retzius"
"LINGO2",12.8931013427718,-3.69273691351975,0.702536465979037,-5.25629215328154,1.4698872399564e-07,4.38761341126987e-05,"LINGO2","Cajal_Retzius"
"RBM26",9.56132472805779,1.41378182497259,0.283941380697687,4.97913274035194,6.38698276648721e-07,0.000152521148463715,"RBM26","Cajal_Retzius"
"GARNL3",2.52914658960684,-3.80887645727209,0.782562380640864,-4.86718573687746,1.13198632968137e-06,0.000199179509924395,"GARNL3","Cajal_Retzius"
"MXI1",6.73447405291256,1.75617469821056,0.361275666482027,4.86103787534755,1.16771906990851e-06,0.000199179509924395,"MXI1","Cajal_Retzius"
"LCOR",6.32078990684488,1.85456565619321,0.390122302675444,4.75380577699525,1.99622815795288e-06,0.000297937052574467,"LCOR","Cajal_Retzius"
"SNCA",7.4882109307941,1.47949357494376,0.318868180582659,4.63982819558955,3.48698948618468e-06,0.000462607271833834,"SNCA","Cajal_Retzius"
"ZNF385D-AS2",2.11225559114342,-3.62528136805875,0.787977985153913,-4.60073940688919,4.20993844918905e-06,0.000502666650833172,"ZNF385D-AS2","Cajal_Retzius"
"N4BP2L2",6.76744877784603,-2.5585819363644,0.562602457480261,-4.54776174960837,5.42194651173524e-06,0.000588527648637444,"N4BP2L2","Cajal_Retzius"
"FGGY",2.00561060193067,-3.56969516857568,0.79761984504483,-4.47543424446147,7.62561657719994e-06,0.000700383553321287,"FGGY","Cajal_Retzius"
"MEG3",46.1576530918809,-0.668432922561814,0.149353470867599,-4.47550980019993,7.62292019847138e-06,0.000700383553321287,"MEG3","Cajal_Retzius"
"DENND4C",1.91623309174807,-3.4285138654127,0.796198757292945,-4.30610301009456,1.6615570612566e-05,0.00141707080795742,"DENND4C","Cajal_Retzius"
"ZMYM4",2.61807773376751,-3.38310872128231,0.797302190524058,-4.24319506642599,2.20359732036258e-05,0.00175406346700862,"ZMYM4","Cajal_Retzius"
"ROCK2",7.2634481500344,1.35309041704981,0.322360962820929,4.19743881271832,2.6995055928786e-05,0.00189604616533247,"ROCK2","Cajal_Retzius"
"LINC01266",1.78234422286787,-3.33253856731926,0.796406963310019,-4.18446688796968,2.85836105326503e-05,0.00189604616533247,"LINC01266","Cajal_Retzius"
"FHIP1A",1.8790015756418,-3.35395455889698,0.800700807588906,-4.18877379304326,2.80465791102487e-05,0.00189604616533247,"FHIP1A","Cajal_Retzius"
"NR3C1",5.48071158039589,-2.26211144051839,0.550502935622003,-4.10917234794119,3.97079658358037e-05,0.00237056556039748,"NR3C1","Cajal_Retzius"
"RALYL",59.7180371901113,-0.551803075148228,0.133908952557154,-4.12073326398931,3.77668471313249e-05,0.00237056556039748,"RALYL","Cajal_Retzius"
"DAB1",7.55956841727137,-1.76803430937923,0.436375685739668,-4.0516334139524,5.0861310813042e-05,0.00289182881479867,"DAB1","Cajal_Retzius"
"HSPA1B",8.56193409341457,5.43607057532486,1.35071012338895,4.02460193434078,5.70717698058793e-05,0.00309744059764636,"HSPA1B","Cajal_Retzius"
"RASA1",2.2582016159071,-3.18237137423862,0.7940478044265,-4.00778310386121,6.1291369179094e-05,0.00318182151303644,"RASA1","Cajal_Retzius"
