"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"KCNB2",47.4960470695139,-2.1975201516579,0.230323083376455,-9.54103305427764,1.41416498290456e-21,1.41331648391482e-17,"KCNB2","Ex_L5_6"
"ENSG00000233928",9.87396493138029,-2.07618651937467,0.246238962367556,-8.43159222006301,3.40993414735236e-17,1.13596272895465e-13,"ENSG00000233928","Ex_L5_6"
"MYO16",18.591526378683,-3.83818201814777,0.476812895908851,-8.04966067629491,8.30238963541906e-16,2.07435205040945e-12,"MYO16","Ex_L5_6"
"KLF12",14.8334915468685,-2.19695096389977,0.274027379180554,-8.01726809368277,1.08122959732343e-15,2.16116171913008e-12,"KLF12","Ex_L5_6"
"HDAC9",30.0929367669641,-2.09446313286497,0.265447054019244,-7.89032351706993,3.01404167817207e-15,4.31391297858586e-12,"HDAC9","Ex_L5_6"
"ACADVL",11.0375134659036,-1.64243905691692,0.212238430782295,-7.73865058680943,1.00477495278944e-14,1.25521510977221e-11,"ACADVL","Ex_L5_6"
"SPRY4-AS1",6.3962477789542,-2.02267865832198,0.272349627938982,-7.42677224723489,1.1127972345557e-13,1.23569950690551e-10,"SPRY4-AS1","Ex_L5_6"
"ENSG00000287100",10.4189868167902,-2.09791884082398,0.287863948390288,-7.28788322593147,3.14862687504852e-13,3.14673769892349e-10,"ENSG00000287100","Ex_L5_6"
"PGM2L1",9.69622705860112,-1.57416809709455,0.218676317030917,-7.19862177334908,6.08242113132712e-13,5.52615607149848e-10,"PGM2L1","Ex_L5_6"
"NTNG1",29.0855314168484,-2.64401915987776,0.374862700710483,-7.05330019462195,1.74723335072998e-12,1.45515417559962e-09,"NTNG1","Ex_L5_6"
"UQCRB",18.4301737922113,-2.13525695508228,0.309229522383868,-6.90508764694088,5.01724409795888e-12,3.58159553678579e-09,"UQCRB","Ex_L5_6"
"SLIT3",15.9458468541338,-2.14893363633203,0.315515193645797,-6.81087212156402,9.70088355136014e-12,6.05941438826833e-09,"SLIT3","Ex_L5_6"
"ENSG00000223930",3.01493388891549,-2.97920687141839,0.43866993073025,-6.7914544916697,1.11008602547699e-11,6.5259998462453e-09,"LOC105374235","Ex_L5_6"
"CDK14",40.5165724992993,-1.07754963720087,0.159036130756118,-6.77550209551621,1.23974945622527e-11,6.88336448084187e-09,"CDK14","Ex_L5_6"
"COL18A1",3.77817197399313,-3.53925420896422,0.525289304011197,-6.73772373040509,1.60887098405935e-11,8.4626613761522e-09,"COL18A1","Ex_L5_6"
"TTC14",16.8399976768139,-1.21171625138991,0.18420517211676,-6.57807941799731,4.76563683657555e-11,2.16489884294255e-08,"TTC14","Ex_L5_6"
"ENSG00000286084",3.19725633758545,-2.75170929347108,0.418056637964938,-6.5821447229403,4.63709876672361e-11,2.16489884294255e-08,"ENSG00000286084","Ex_L5_6"
"RELN",10.3930470075802,-4.9111846384201,0.748679497710583,-6.55979581842192,5.38815041783124e-11,2.21898447531021e-08,"RELN","Ex_L5_6"
"CDHR3",6.76602586726116,-2.5123165464197,0.383016490681566,-6.5592908074248,5.40642782664828e-11,2.21898447531021e-08,"CDHR3","Ex_L5_6"
"ENSG00000284418",6.53624551611481,-3.97117169568307,0.605988835620512,-6.55320933696201,5.63134863613421e-11,2.21898447531021e-08,"ENSG00000284418","Ex_L5_6"
"TENM1",14.0701210776744,-2.70919136216126,0.413648282710448,-6.54950467679733,5.77282332980444e-11,2.21898447531021e-08,"TENM1","Ex_L5_6"
"PTPRK",78.137954034868,-1.13019480781636,0.175114937758748,-6.45401712887224,1.08923491109316e-10,4.03178285239447e-08,"PTPRK","Ex_L5_6"
"COL5A2",12.1168499715514,-3.24172607266364,0.504372159436266,-6.42725021993065,1.29932849215198e-10,4.50646354533476e-08,"COL5A2","Ex_L5_6"
"PTPRT",70.1377130521937,-1.48830390303221,0.231596552928785,-6.42627830255251,1.30765902356122e-10,4.50646354533476e-08,"PTPRT","Ex_L5_6"
"EPHA5",20.5005805298617,-1.0283223354902,0.160335077342732,-6.41358305701294,1.42138617975273e-10,4.58236563885444e-08,"EPHA5","Ex_L5_6"
"TRPS1",32.2622660299171,-2.90364291793183,0.455908136775627,-6.36892102533551,1.90362589922155e-10,5.94526163650631e-08,"TRPS1","Ex_L5_6"
